Feature ID,Area / Module,Feature Name,Feature Type,Code Location,Related Route / Screen / Endpoint,User Story,Expected Behavior Based on Code,Test Steps,Test Data Needed,Current Status,Initial Test Result,Error / Bug Found,Severity,UX / Workflow Impact,Root Cause,Fix Summary,Files Changed,Retest Steps,Retest Result,Final Status,Notes
F-011,Backend API,AI configuration status,Endpoint,backend/app/main.py; backend/app/services/ai_review.py,GET /ai/status,As a reviewer I want to know whether direct AI review is configured so that I understand available workflow,Returns configured false when key and model are absent,Call status endpoint with env vars removed,No AI env vars,Retested - Pass,Added endpoint smoke test passes,None,Test Coverage,N/A,N/A,Added direct endpoint test,tests/test_pipeline.py,Run pytest,36 passed,Retested - Pass,N/A
F-012,Backend API,Direct AI review,Integration,backend/app/main.py; backend/app/services/ai_review.py,POST /projects/{project_id}/ai-review,As a reviewer with an API key I want direct AI review so that findings can be created without manual copy paste,Uses configured AI client and normalizes findings,Run fake AI client service test,Fake AI client,Tested - Pass,Existing fake client test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,Live provider not tested
F-013,Manual AI workflow,Manual prompt generation,Endpoint,backend/app/services/ai_review.py,GET /projects/{project_id}/ai-review/manual-prompt,As a reviewer I want a ChatGPT or Copilot prompt so that I can review the attached PDF externally,Generates prompt version metadata and sheet index only,Run manual prompt tests and inspect exclusions,Project with sheet text,Tested - Pass,Existing prompt tests pass,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-014,Manual AI workflow,AI response preview,Endpoint,backend/app/services/ai_review.py,POST /projects/{project_id}/ai-review/preview,As a reviewer I want to preview AI JSON before import so that skipped and duplicate updates are visible,Parses strict and loose JSON then records preview batch,Run preview tests with duplicate updates,Malformed AI JSON,Tested - Pass,Existing preview tests pass,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-015,Manual AI workflow,AI response import,Endpoint,backend/app/services/ai_review.py,POST /projects/{project_id}/ai-review/import,As a reviewer I want to import valid AI updates so that they become editable AutoQC findings,Imports preview or pasted response and defaults findings to needs_review,Run import tests for strict and malformed responses,AI updates JSON,Tested - Pass,Existing import tests pass,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-016,Manual AI workflow,AI import batch history,Endpoint,backend/app/main.py; backend/app/database.py,GET /projects/{project_id}/ai-review/import-batches,As a reviewer I want import history so that prior previews and imports are auditable,Returns recent batch records with counts and status,Run preview import then list batches,Preview batch,Tested - Pass,Existing batch history test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-017,Review audit,Finding event audit log,Endpoint,backend/app/main.py; backend/app/database.py,GET /projects/{project_id}/events,As a reviewer I want audit events so that review changes are traceable,Returns project finding events including bulk updates,Run bulk update then list events,Imported findings,Tested - Pass,Existing event test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-018,Finding review,Single finding update,Endpoint,backend/app/main.py; backend/app/database.py,PATCH /findings/{finding_id},As a reviewer I want to edit finding fields so that exported comments reflect final judgment,Allows updates to AI findings only and maps reviewer fields,Run editable export test,Imported AI finding,Tested - Pass,Existing editable finding test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-019,Finding review,Bulk finding status update,Endpoint,backend/app/main.py; backend/app/database.py,PATCH /findings/bulk,As a reviewer I want bulk actions so that groups can be accepted or rejected efficiently,Updates AI findings in batch and records event,Run bulk update endpoint test,Two AI findings,Tested - Pass,Existing bulk update test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-020,Finding review,Finding delete,Endpoint,backend/app/main.py; backend/app/database.py,DELETE /findings/{finding_id},As a reviewer I want to delete an AI finding so that invalid imported updates can be removed,Deletes AI finding only and hides non-AI rows as 404,Run AI-only route protection test,Mixed findings,Tested - Pass,Existing route protection test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-021,Export,Marked PDF and register export,Endpoint,backend/app/main.py; backend/app/services/exports.py,POST /projects/{project_id}/exports,As a reviewer I want export files so that I can issue marked PDFs and QA registers,Exports marked PDF plus CSV XLSX JSON HTML and Markdown,Run export endpoint and pipeline tests,AI findings,Tested - Pass,Existing export tests pass,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-022,Export,Source PDF retrieval,Endpoint,backend/app/main.py,GET /projects/{project_id}/source-pdf,As a reviewer I want to open the source PDF so that I can verify drawing evidence,Returns source PDF file or 404 if missing,Create sample then call source-pdf,Sample project,Retested - Pass,Added endpoint smoke test passes,None,Test Coverage,N/A,N/A,Added PDF content assertion,tests/test_pipeline.py,Run pytest,36 passed,Retested - Pass,N/A
F-023,Assets,Static data assets,Static route,backend/app/main.py,/data static mount,As a frontend user I want page images and exported files served so that browser links work,Serves files below configured data directory,Exercise image and export URL creation,Sample project and export,Tested - Pass,Indirectly covered by tests,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-024,Persistence,SQLite schema and migrations,Persistence,backend/app/database.py,SQLite autoqc.sqlite,As a reviewer I want projects and findings persisted so that work survives refreshes,Initializes schema and ensures added columns,Run DB-backed pipeline tests,Temporary SQLite DB,Tested - Pass,Existing database tests pass,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-025,PDF processing,PDF ingestion extraction and page images,Service,backend/app/services/pdf_processor.py,PDFProcessor.process_project,As a reviewer I want pages extracted into sheets so that each drawing page can be reviewed,Extracts sheet rows text images dimensions and entities with no rule findings,Run pipeline ingestion test,Synthetic PDF,Tested - Pass,Existing ingestion test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-026,PDF processing,Sheet classification and title block extraction,Service,backend/app/services/classifier.py,classify_sheet; extract_title_block,As a reviewer I want sheets categorized so that navigation and prompt context are useful,Classifies PFD P&ID layout and drawing index,Run classifier tests,Synthetic snippets,Tested - Pass,Existing classifier test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-027,PDF processing,Entity extraction,Service,backend/app/services/extraction.py,extract_entities,As a reviewer I want tags and line references extracted so that context is structured,Normalizes valves instruments lines and drawing references,Run entity extractor test,Synthetic tag text,Tested - Pass,Existing entity test passes,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-028,Manual AI parser,Strict and loose AI JSON recovery,Parser,backend/app/services/ai_review.py,parse_json_object_with_report; parse_loose_updates,As a reviewer I want common Chat output repaired so that valid updates are not lost,Accepts fences prose aliases trailing commas inch marks and malformed objects,Run malformed import tests,Malformed AI text,Tested - Pass,Existing malformed JSON tests pass,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-029,Finding normalization,Stable IDs dedupe and preserved edits,Service,backend/app/database.py; backend/app/services/ai_review.py,replace_findings; merge_existing_ai_findings,As a reviewer I want reimports to update AI content without losing review decisions,Dedupes stable IDs and preserves reviewer status and comments,Run duplicate and reimport tests,Duplicate findings,Tested - Pass,Existing preservation tests pass,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-030,Export placement,Exact fuzzy page and manual placement,Service,backend/app/services/exports.py,_finding_placement; _write_marked_pdf,As a reviewer I want annotations placed safely so that marked PDFs do not crash,Searches targets fuzzy matches and falls back safely,Run placement export tests,PDF with targets,Tested - Pass,Existing placement tests pass,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-031,Samples,Synthetic sample PDF generation,Script service,backend/app/sample_pdf.py; scripts/make_sample_pdf.py,Sample PDF helpers,As a new user I want generated sample data so that I can try the workflow quickly,Creates multi-page synthetic regulator station PDF,Run sample project tests,Built-in sample,Tested - Pass,Indirectly covered by sample tests,None,Test Coverage,N/A,N/A,N/A,N/A,Run pytest,36 passed,Retested - Pass,N/A
F-032,Frontend UI,Project library upload and advanced sample project,Screen,frontend/src/App.tsx,Project library; Advanced panel,As a reviewer I want upload controls and a generated sample project so that I can start or reopen reviews,Project library lists uploaded reviews; Sample Project creation lives in Advanced,Manual browser test upload sample and refresh,Browser session and PDF,Retested - Pass,Advanced Sample Project flow passed in Playwright,None,Test Coverage,N/A,N/A,Updated simplified-core browser coverage,frontend/e2e/autoqc-workflow.spec.ts; frontend/src/App.tsx,Run npm test and npm run test:e2e,6 passed in both commands,Retested - Pass,N/A
F-033,Frontend UI,Simplified left rail navigation cards,Navigation,frontend/src/App.tsx; frontend/src/styles.css,Projects Review Findings Export nav,As a reviewer I want quick navigation so that I can switch core workflow panels without dead tabs,Card state swaps visible panels without losing selected project and Advanced stays outside the tablist,Manual browser test card switching,Browser session,Retested - Pass,Keyboard and simplified-nav browser tests passed,None,UX,N/A,N/A,Updated tab expectations and kept Advanced outside the tablist,frontend/e2e/autoqc-workflow.spec.ts; frontend/src/App.tsx,Run npm test and npm run test:e2e,6 passed in both commands,Retested - Pass,N/A
F-034,Frontend UI,Review actions and Manual AI Review,Screen,frontend/src/App.tsx,Review card,As a reviewer I want AI review and Chat Prompt controls so that I can start AI-driven review,Buttons enable with project and prompt opens manual AI review,Manual browser test prompt and clipboard,Selected project,Ready for Test,Backend prompt covered but UI not browser-tested,None,Test Coverage,Clipboard permission differences can affect UX,Browser clipboard unavailable,N/A,N/A,Generate prompt in browser,Not run,Not Testable,Backend is tested
F-035,Frontend UI,Clipboard paste file and drop JSON,Workflow,frontend/src/App.tsx,Manual AI Review controls,As a reviewer I want paste file import and drag drop so that AI JSON can be loaded efficiently,Reads clipboard or file text and clears preview,Manual browser test paste chooser and drop,JSON or TXT file,Ready for Test,Static code review only,None,Test Coverage,Failure blocks convenience import,Browser clipboard and DnD unavailable,N/A,N/A,Test paste file chooser and drop,Not run,Not Testable,Parser backend tested
F-036,Frontend UI,AI preview panel,Screen,frontend/src/App.tsx,AIPreviewPanel,As a reviewer I want parsed update preview so that I can see importable skipped and duplicate updates,Shows counts warnings repairs and per update status,Manual browser test mixed response,AI response JSON,Ready for Test,Backend preview tested but UI not browser-tested,None,Test Coverage,N/A,No browser run,N/A,N/A,Preview mixed JSON in UI,Not run,Not Testable,N/A
F-037,Frontend UI,AI import history collapsible,Screen,frontend/src/App.tsx,AIImportHistory,As a reviewer I want recent import batches visible but compact so that audit context is available,Shows recent five batches when present,Manual browser test after preview import,Imported batch history,Ready for Test,Backend batch tested but UI not browser-tested,None,Test Coverage,N/A,No browser run,N/A,N/A,Preview and import then open history,Not run,Not Testable,N/A
F-038,Frontend UI,Viewer sheet selector,Screen,frontend/src/App.tsx,Viewer toolbar,As a reviewer I want sheet navigation so that I can choose a drawing page without restoring a separate sheet tab,Viewer includes Jump to sheet select plus previous and next controls,Manual browser test selection and no project,Sample project,Retested - Pass,Jump to sheet selector passed in browser coverage,None,Test Coverage,N/A,N/A,Added compact viewer sheet selector and test coverage,frontend/src/App.tsx; frontend/src/styles.css; frontend/e2e/autoqc-workflow.spec.ts,Select sheets and verify viewer,6 Playwright tests passed,Retested - Pass,N/A
F-039,Frontend UI,Drawing viewer and overlay selection,Screen,frontend/src/App.tsx,Viewer,As a reviewer I want to view sheet images and click finding overlays so that comments tie to drawings,Displays image or marked PDF and clickable overlays,Manual browser test with imported finding,Project with image,Ready for Test,Static code review only,None,Test Coverage,N/A,No browser run,N/A,N/A,Open sheet and click overlay,Not run,Not Testable,N/A
F-040,Frontend UI,Viewer zoom pan reset and open image,Screen,frontend/src/App.tsx; frontend/src/styles.css,Viewer zoom controls,As a reviewer I want zoom and pan controls so that I can inspect large drawings,Zooms from 25 to 300 and supports reset fit drag pan and open image,Manual browser test zoom pan and link,Project sheet image,Ready for Test,TypeScript passed but browser interaction not run,None,Test Coverage,N/A,No browser run,N/A,N/A,Use zoom buttons and drag pan,Not run,Not Testable,N/A
F-041,Frontend UI,Findings panel search filter and bulk actions,Screen,frontend/src/App.tsx,FindingsPanel,As a reviewer I want search filter and bulk updates so that review status changes are efficient,Filters findings and sends bulk status updates,Manual browser test with multiple findings,Multiple AI findings,Ready for Test,Backend bulk tested but UI not browser-tested,None,Test Coverage,N/A,No browser run,N/A,N/A,Search filter and bulk update,Not run,Not Testable,N/A
F-042,Frontend UI,Finding inspector edit form,Screen,frontend/src/App.tsx,FindingInspector,As a reviewer I want to edit finding details so that final PDF comments are correct,Edits status severity category confidence page target comments update rationale and note,Manual browser test edit save delete,Imported AI finding,Ready for Test,Backend edit delete tested but UI not browser-tested,None,Test Coverage,N/A,No browser run,N/A,N/A,Edit save then refresh,Not run,Not Testable,N/A
F-043,Frontend UI,Export panel status selection and downloads,Screen,frontend/src/App.tsx,ExportPanel,As a reviewer I want status based export controls so that I can create draft or final deliverables,Sends selected statuses and shows generated file links,Manual browser test export and links,Accepted findings,Ready for Test,Backend export tested but UI not browser-tested,None,Test Coverage,N/A,No browser run,N/A,N/A,Export and open links,Not run,Not Testable,N/A
F-044,Frontend UX,Responsive desktop tablet mobile layout,UX layout,frontend/src/styles.css,CSS media queries,As a reviewer on a smaller screen I want panels to stack correctly so that controls remain reachable,Desktop uses four columns and tablet stacks viewer then right rail full width,Inspect CSS media queries and run TypeScript,CSS source,Retested - Pass,Initial review found layout bug and typecheck passed after fix,Right rail kept grid-column 4 under two-column tablet layout,UX,Right rail could render off-screen or create confusing overflow,Media query did not reset inherited grid placement,Reset right rail to full-width third row and enabled app overflow,frontend/src/styles.css,Review CSS and run npx tsc --noEmit,TypeScript passed; browser viewport not run,Retested - Pass,Manual viewport test still recommended
F-045,Frontend API,API client normalization and errors,Utility,frontend/src/api.ts,Frontend API client,As a frontend user I want consistent API errors and URLs so that UI actions show useful feedback,Normalizes base URL unwraps data and formats FastAPI errors,Run TypeScript typecheck,Frontend source,Retested - Pass,TypeScript passed,None,Test Coverage,N/A,N/A,No code change needed,N/A,Run npx tsc --noEmit,Passed,Retested - Pass,N/A
F-046,Dev workflow,Frontend build command,Build,frontend/package.json; frontend npm environment,npm run build,As a developer I want a reliable build command so that frontend release validation works,Runs TypeScript then Vite build,Run npm run build in frontend,Installed deps,Tested - Fail,Failed before Vite diagnostics with npm promise-spawn error,npm cannot spawn script shell because file argument is undefined,Medium,Blocks build validation in this shell even though tsc passes,Likely local npm script-shell or ComSpec MSYS interaction,Deferred environment fix and avoided repo-level Windows-only npmrc,N/A,Run npm run build in normal terminal or explicit script shell,Still fails in current safe shell,Deferred,Safe bash denied explicit npm script-shell command
F-047,Documentation,Legacy rule docs alignment,Documentation,README.md; docs/RULES.md; SPEC.md,Docs,As a maintainer I want docs to match active AI-only workflow so that users are not confused,README states active workflow but legacy docs still describe rules,Search docs for rule terminology,Docs,Deferred,Found known mismatch noted by README,Some docs still describe earlier rule engine,Documentation,May confuse contributors,Product direction changed from rules to AI-only UI workflow,Deferred docs rewrite because README already warns,N/A,Review and update docs/RULES.md and SPEC.md,Not run,Deferred,Recommended follow-up
F-048,QA tracker,Canonical feature tracker,Artifact,docs/qa/feature_status.csv,QA tracker,As a QA lead I want one canonical tracker so that stories tests fixes and retests stay synchronized,Single CSV includes required columns and final state for each discovered feature,Open tracker and verify required columns exist,Repo audit notes,Retested - Pass,Created fallback CSV tracker,None,Test Coverage,N/A,N/A,Created canonical CSV tracker,docs/qa/feature_status.csv,Check path and row completeness,Created,Retested - Pass,XLSX not generated due current workspace text-write constraint
F-049,Frontend E2E,Playwright local workflow tests,Test,frontend/playwright.config.ts; frontend/e2e/autoqc-workflow.spec.ts,npm test,As a maintainer I want browser tests so that the local workflow is trusted,Starts isolated backend/frontend servers and verifies first load sample prompt preview import review export backend-unavailable mobile and keyboard smoke,Run npm test,Local sample project and fixture JSON,Retested - Pass,4 Playwright tests passed,Earlier selector and server-port issues fixed,High,Core browser workflow now testable,No E2E setup existed and 5173 could reuse stale servers,Added Playwright config scripts fixture and browser spec,frontend/package.json; frontend/package-lock.json; frontend/playwright.config.ts; frontend/e2e/autoqc-workflow.spec.ts; frontend/e2e/fixtures/valid-ai-updates.json,Run npm test,4 passed,Retested - Pass,Uses isolated ports 8010 and 5180
F-050,Frontend Toolchain,NPM scripts,Build,frontend/package.json,npm scripts,As a developer I want clear frontend scripts so that build/test commands are discoverable,Provides dev dev:e2e typecheck build test test:e2e e2e preview scripts,Run npm run typecheck npm run build npm test,None,Retested - Pass,Commands pass,None,Medium,N/A,N/A,Added scripts and Playwright dev dependency,frontend/package.json; frontend/package-lock.json,Run npm run typecheck; npm run build; npm test,Pass,Retested - Pass,N/A
F-051,Backend Security,Safe generated file serving,Security,backend/app/main.py; backend/app/services/storage.py,/data/{file_path:path},As a local user I want only safe generated assets served so raw inputs and DB files are not exposed,/data serves project sheet images and export files only and blocks DB/input PDFs,Call /data image DB and input paths,Uploaded sample project,Retested - Pass,Security tests pass,Broad StaticFiles mount exposed data_dir,High,Prevents guessable raw local files through browser route,Static mount bypassed source PDF checks,Replaced broad mount with validated route,backend/app/main.py; backend/app/services/storage.py; tests/test_pipeline.py,Run pytest,42 passed,Retested - Pass,N/A
F-052,Backend Security,Managed source PDF boundary,Security,backend/app/services/storage.py; backend/app/services/pdf_processor.py; backend/app/services/exports.py,process/export/source-pdf,As a user I want project source PDFs handled only from managed project storage,Processing export and source-pdf reject source paths outside project input directory,Create unsafe DB project and call process export source-pdf,Unsafe source path,Retested - Pass,Security tests pass,DB source path was trusted by processing/export,High,Prevents accidental outside-file access,Stored path lacked shared validation,Added shared source path helper,backend/app/services/storage.py; backend/app/services/pdf_processor.py; backend/app/services/exports.py; backend/app/main.py; tests/test_pipeline.py,Run pytest,42 passed,Retested - Pass,N/A
F-053,Backend Upload,Valid PDF validation,Validation,backend/app/services/pdf_processor.py,POST /projects,As a user I want fake PDFs rejected early so broken uploads do not persist,Uploads must start with PDF header and open with PyMuPDF with at least one page,Upload invalid PDF bytes with auto_review false,Fake PDF bytes,Retested - Pass,400 returned,None,High,Prevents stored invalid source packages,Only header was checked before save,Added PyMuPDF validation before writing,backend/app/services/pdf_processor.py; tests/test_pipeline.py,Run pytest,42 passed,Retested - Pass,N/A
F-054,Manual AI workflow,Missing target_text rejection,Validation,backend/app/services/ai_review.py,POST /ai-review/preview,As a reviewer I want vague AI updates rejected so findings are not confusing,Preview skips missing blank or non-string target_text updates with reasons and imports valid siblings,Preview mixed response,Fixture JSON,Retested - Pass,Partial import test passes,Missing target_text previously imported as page-level item,Critical,Avoids confusing AI findings without anchors,Importer treated target_text as warning only,Tightened target_text gate and structured evidence handling,backend/app/services/ai_review.py; tests/test_pipeline.py,Run pytest,42 passed,Retested - Pass,N/A
F-055,Manual AI workflow,Preview replay protection,Validation,backend/app/services/ai_review.py,POST /ai-review/import,As a reviewer I want old previews protected so stale JSON cannot overwrite current findings,Only previewed batches can be imported and bogus preview IDs return preview-specific errors,Import bogus and repeated preview IDs,Sample project,Retested - Pass,Tests pass,Preview IDs were replayable,High,Prevents confusing repeated/stale imports,No import_status check,Added preview status validation,backend/app/services/ai_review.py; tests/test_pipeline.py,Run pytest,42 passed,Retested - Pass,N/A
F-056,Export,Empty export guard,Validation,backend/app/services/exports.py; backend/app/models.py,POST /projects/{id}/exports,As a reviewer I want blank packages blocked so exports are meaningful,No matching findings returns 400 and empty statuses returns 422,Export sample with no AI findings,Sample project,Retested - Pass,Tests pass,API could generate or ambiguously interpret empty export,High,Prevents blank review packages,Exporter did not reject no findings,Added guard and status min_length,backend/app/services/exports.py; backend/app/models.py; tests/test_pipeline.py,Run pytest,42 passed,Retested - Pass,N/A
F-057,Frontend Accessibility,Icon accessible names and file import focus,A11y,frontend/src/App.tsx; frontend/src/styles.css,Viewer/manual AI review,As a keyboard/screen-reader user I want controls named and visibly focused,Viewer icon controls have aria-labels and file import has focus-within style,Run npm test and typecheck,UI source,Retested - Pass,Keyboard smoke passes,Icon-only controls relied on title and file input focus was weak,Medium,Improves keyboard and assistive tech usability,Missing explicit names/focus-within,Added aria-labels and focus-within CSS,frontend/src/App.tsx; frontend/src/styles.css,Run npm test; npm run typecheck,Pass,Retested - Pass,N/A
F-058,Docs,Scripts and docs alignment,Documentation,README.md; docs/ARCHITECTURE.md; docs/RULES.md; docs/SAMPLE_SCENARIOS.md; scripts/dev.ps1,Docs/scripts,As a maintainer I want docs to match the app so users run the right workflow,Docs describe manual Chat Prompt primary workflow tests security hardening and scripts use AutoQC naming,Review docs and scripts,None,Retested - Pass,Docs updated,Docs were stale after Playwright/hardening,Medium,Reduces onboarding confusion,Earlier stabilization notes were outdated,Updated docs and script banner,README.md; docs/ARCHITECTURE.md; docs/RULES.md; docs/SAMPLE_SCENARIOS.md; scripts/dev.ps1,Review final docs,Updated,Retested - Pass,N/A
F-059,Manual AI workflow,Strict review coverage gate,Validation,backend/app/services/review_coverage.py; backend/app/services/ai_review.py,Preview/import/dashboard/export,As a reviewer I want imports to prove page coverage so partial AI reviews cannot silently become complete reviews,Preview computes expected confirmed missing incomplete not-readable pages and import blocks incomplete coverage,Run coverage gate tests,AI JSON with reviewed_pages,Retested - Pass,78 pytest tests pass,None,Critical,Prevents incomplete package review from being imported as complete,Coverage was not a durable gate,Added coverage service import metadata and UI surfacing,backend/app/services/review_coverage.py; backend/app/services/ai_review.py; frontend/src/App.tsx; tests/test_pipeline.py,Run pytest,78 passed,Retested - Pass,N/A
F-060,Export,Draft and final export modes,Validation,backend/app/services/exports.py; frontend/src/App.tsx,POST /projects/{id}/exports; Export panel,As a reviewer I want final deliverables guarded more strictly than drafts so issued packages are trustworthy,Draft allows selected statuses; final requires accepted-only complete coverage signoff no manual placement blockers and validation readiness,Run final export mode tests,Accepted AI finding with complete coverage,Retested - Pass,78 pytest tests pass,None,Critical,Prevents unsafe final deliverables,Single flexible export path lacked final gates,Added export_mode signoff validation coverage and UI readiness requirements,backend/app/models.py; backend/app/services/exports.py; frontend/src/App.tsx; tests/test_pipeline.py,Run pytest; npm run typecheck,Pass,Retested - Pass,N/A
F-061,Direct AI Review,Text-only demotion and gate,Validation,backend/app/services/ai_review.py; frontend/src/App.tsx,POST /projects/{id}/ai-review; Direct AI button,As a reviewer I want direct AI clearly labeled so I do not confuse text-context review with PDF-attached manual review,Direct AI stores text_context_only metadata warnings and cannot bypass reviewed_pages gates,Run fake direct AI tests,Fake AI responses,Retested - Pass,78 pytest tests pass,None,High,Reduces misuse of experimental path,Direct path imported immediately without equal labels/gates,Added metadata warnings shared preview gate and UI confirmation,backend/app/services/ai_review.py; frontend/src/App.tsx; tests/test_pipeline.py,Run pytest; npm run typecheck,Pass,Retested - Pass,N/A
F-062,Backup/Restore,Project package import preview validation,Validation,backend/app/services/project_packages.py; backend/app/main.py,/project-packages/import/preview,As a reviewer I want package restore validated before writes so bad archives cannot corrupt local state,Preview validates zip schema paths extensions size PDF images payload shape and checksums before confirmed import,Run package validation tests,Bad zip traversal missing project invalid PDF valid package,Retested - Pass,78 pytest tests pass,None,High,Safer pilot backup/restore,Import previously extracted then wrote after limited checks,Added dry-run validator checksum manifest and route,backend/app/services/project_packages.py; backend/app/main.py; frontend/src/api.ts; tests/test_pipeline.py,Run pytest,78 passed,Retested - Pass,N/A
